3fga,3fga_diff,3fgm,3fgm_diff,3pt%,3pt%_diff,ast,ast_diff,blk,blk_diff,cnu_score,date,day,def,def_diff,fg%,fg%_diff,fga,fga_diff,fgm,fgm_diff,ft%,ft%_diff,fta,fta_diff,ftm,ftm_diff,home,month,off,off_diff,opp_3fga,opp_3fgm,opp_3pt%,opp_ast,opp_blk,opp_def,opp_fg%,opp_fga,opp_fgm,opp_ft%,opp_fta,opp_ftm,opp_off,opp_pf,opp_ppg avg,opp_pts,opp_rb avg,opp_score,opp_stl,opp_t/o,opp_tot,opponent,overtime,pf,pf_diff,ppg avg,pts,ranked,rb avg,season,stl,stl_diff,t/o,t/o_diff,tot,tot_diff,weekday,win,year
17,-1,7,1,0.412,0.0791,15,0,5,3,108,2010-11-19,19,31,0,0.461,-0.01514,76,-8,35,-5,0.689,-0.01123,45,25,31,17,1,11,17,-1,18,6,0.333,15,2,31,0.476,84,40,0.7,20,14,18,29,100.0,100,49.0,100,6,27,49,LYNCHBURG UNIVERSITY,1,20,-9,108.0,108,0,48.0,2010-2011,10,4,17,-10,48,-1,4,1,2010
12,-8,4,0,0.333,0.133,8,0,2,-2,69,2010-11-20,20,24,-8,0.441,0.04492,59,6,26,5,0.765,0.00537,17,-8,13,-6,1,11,6,-3,20,4,0.2,8,4,32,0.396,53,21,0.76,25,19,9,20,82.5,65,45.0,65,2,22,41,ST. JOHN FISHER,0,22,2,88.5,69,0,39.0,2010-2011,11,9,13,-9,30,-11,5,1,2010
6,-14,3,-2,0.5,0.25,2,-10,0,-4,57,2010-11-23,23,23,-2,0.462,0.01587,39,-26,18,-11,0.6,-0.0669,30,6,18,2,0,11,4,-14,20,5,0.25,12,4,25,0.446,65,29,0.667,24,16,18,22,81.3,79,44.3,79,7,10,43,VIRGINIA WESLEYAN UNIVERSITY,0,17,-5,78.0,57,1,35.0,2010-2011,2,-5,18,8,27,-16,1,0,2010
12,-7,5,-1,0.417,0.1011,10,-5,9,6,87,2010-11-26,26,33,13,0.51,0.0947,51,-14,26,-1,0.667,0.0762,45,23,30,17,1,11,14,4,19,6,0.316,15,3,20,0.415,65,27,0.591,22,13,10,32,79.2,73,40.8,73,8,13,30,BRIDGEWATER,0,22,-10,80.2,87,0,38.0,2010-2011,6,-2,19,6,47,17,4,1,2010
8,-12,5,1,0.625,0.425,10,4,4,0,83,2010-11-27,27,24,7,0.52,0.0891,50,-15,26,-2,0.743,0.01221,35,9,26,7,1,11,13,-5,20,4,0.2,6,4,17,0.431,65,28,0.731,26,19,18,28,79.2,79,39.6,79,11,15,35,WESLEY,0,24,-4,80.8,83,0,37.8,2010-2011,6,-5,19,4,37,2,5,1,2010
17,-9,5,-5,0.294,-0.09106,10,-11,0,-2,67,2010-12-01,1,20,-3,0.463,-0.04492,54,-5,25,-5,0.545,-0.1221,22,-2,12,-4,0,12,11,-4,26,10,0.385,21,2,23,0.508,59,30,0.667,24,16,15,19,80.3,86,39.3,86,11,20,38,ST. MARY'S (MD.),0,18,-1,78.5,67,1,36.7,2010-2011,2,-9,20,0,31,-7,2,0,2010
10,-17,3,-8,0.3,-0.10693,9,-5,3,-3,75,2010-12-13,13,29,2,0.429,0.03906,63,4,27,4,0.667,0.01123,27,-5,18,-3,0,12,14,1,27,11,0.407,14,6,27,0.39,59,23,0.656,32,21,13,19,80.0,78,39.4,78,7,13,40,MARY WASHINGTON,0,20,1,78.0,75,0,37.6,2010-2011,4,-3,16,3,43,3,0,0,2010
13,1,3,2,0.231,0.148,15,-3,2,-1,82,2010-12-17,17,27,-3,0.47,0.062,66,-5,31,2,0.63,-0.09033,27,2,17,-1,0,12,11,-7,12,1,0.083,18,3,30,0.408,71,29,0.72,25,18,18,21,79.6,77,40.5,77,10,19,48,LYNCHBURG UNIVERSITY,1,22,1,78.5,82,0,37.6,2010-2011,14,4,17,-2,38,-10,4,1,2010
18,0,7,-2,0.389,-0.1111,13,-8,2,-1,91,2010-12-19,19,17,-7,0.538,-0.02783,65,12,35,5,0.737,-0.1304,19,-11,14,-12,0,12,10,0,18,9,0.5,21,3,24,0.566,53,30,0.867,30,26,10,13,81.3,95,39.8,95,10,22,34,FROSTBURG STATE UNIVERSITY,0,22,9,79.9,91,0,36.4,2010-2011,15,5,16,-6,27,-7,6,0,2010
11,-2,4,-1,0.364,-0.021,11,1,2,-5,71,2010-12-29,29,27,5,0.393,0.083,56,-2,22,4,0.622,-0.1079,37,0,23,-4,1,12,20,3,13,5,0.385,10,7,22,0.31,58,18,0.73,37,27,17,28,80.0,68,39.7,68,13,15,39,FROSTBURG STATE UNIVERSITY,0,25,-3,79.0,71,0,37.5,2010-2011,7,-6,19,4,47,8,2,1,2010
